bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,95,57,36
1,2,0,57,0,135,55,36
1,3,0,0,36,75,57,36
1,4,95,0,0,75,57,36
1,5,0,112,0,209,97,36
1,6,0,112,36,209,97,36
1,7,0,112,72,91,69,46
1,8,0,57,36,149,55,40
1,9,0,57,76,135,55,36
1,10,0,0,72,75,57,40
1,11,0,57,112,149,55,40
1,12,95,0,36,75,57,40
1,13,170,0,0,47,93,36
1,14,0,112,118,91,69,46
1,15,91,112,72,111,73,26
1,16,91,112,98,111,73,26
1,17,0,0,112,75,57,40
1,18,0,112,164,95,57,36
1,19,0,112,200,95,57,36
1,20,0,57,152,149,55,40
1,21,0,0,152,75,57,36
1,22,95,112,124,111,73,26
1,23,0,57,192,135,55,36
1,24,0,0,188,75,57,32
1,25,95,112,150,117,55,28
1,26,95,112,178,117,55,28
1,27,95,0,76,75,57,32
1,28,95,0,108,75,57,36
1,29,170,0,36,47,93,36
1,30,95,0,144,75,57,40
1,31,170,0,72,47,93,36
1,32,95,0,184,75,57,32
