bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
Bin 1,#35外箱,36.0,49.0,105.0,36.0,1.0
Bin 1,#35外箱,36.0,146.0,105.0,36.0,1.0
Bin 1,#16A外箱,32.0,29.0,38.0,68.0,1.0
Bin 1,#29外箱,36.0,125.0,68.0,72.0,1.0
Bin 1,#26外箱,40.0,180.0,75.0,76.0,1.0
Bin 1,#33外箱,36.0,47.0,99.0,72.0,0.0
Bin 1,#20外箱,26.0,56.0,172.0,62.0,0.0
Bin 1,#9外箱,46.0,157.0,184.0,82.0,0.0
Bin 1,#20外箱,26.0,56.0,172.0,88.0,0.0
Bin 1,#18A外箱,36.0,29.0,38.0,104.0,1.0
Bin 1,#29外箱,36.0,125.0,68.0,108.0,1.0
Bin 1,#33外箱,36.0,47.0,99.0,108.0,0.0
Bin 1,#26外箱,40.0,180.0,75.0,116.0,1.0
Bin 1,#22外箱,36.0,159.0,178.0,118.0,0.0
Bin 1,#20外箱,26.0,56.0,172.0,114.0,0.0
Bin 1,#18A外箱,36.0,29.0,38.0,140.0,1.0
Bin 1,#29外箱,36.0,125.0,68.0,144.0,1.0
Bin 1,#33外箱,36.0,47.0,99.0,144.0,0.0
Bin 1,#9外箱,46.0,35.0,168.0,160.0,1.0
Bin 1,#26外箱,40.0,180.0,75.0,156.0,1.0
Bin 1,#22外箱,36.0,159.0,178.0,154.0,0.0
Bin 1,#7A外箱,40.0,29.0,38.0,180.0,1.0
Bin 1,#13外箱,28.0,125.0,59.0,172.0,1.0
Bin 1,#33外箱,36.0,47.0,99.0,180.0,0.0
Bin 1,#22外箱,36.0,159.0,179.0,190.0,0.0
Bin 1,#7A外箱,40.0,181.0,38.0,196.0,1.0
Bin 1,#18A外箱,36.0,181.0,113.0,192.0,1.0
Bin 1,#9外箱,46.0,35.0,168.0,206.0,1.0
Bin 1,#13外箱,28.0,125.0,59.0,200.0,1.0
Bin 1,#7A外箱,40.0,29.0,38.0,220.0,1.0
Bin 1,#33外箱,36.0,47.0,99.0,216.0,0.0
Bin 1,#22外箱,36.0,159.0,179.0,226.0,0.0
Bin 1,#18A外箱,36.0,181.0,113.0,228.0,1.0
Bin 1,#18A外箱,36.0,181.0,38.0,232.0,1.0
Bin 1,#13外箱,28.0,125.0,59.0,228.0,1.0
Bin 1,#16A外箱,32.0,29.0,160.0,238.0,1.0
Bin 2,#9外箱,46.0,35.0,46.0,46.0,1.0
Bin 2,#16A外箱,32.0,98.0,38.0,32.0,1.0
Bin 2,#13外箱,28.0,59.0,119.0,28.0,0.0
Bin 2,#16A外箱,32.0,38.0,29.0,78.0,0.0
