bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#18A,35.0,26.0,36.0,28.5,37.5,36.0,1.0,2.5,2.5,0,52,70,36.0
1,#7A,35.0,26.0,40.0,85.5,37.5,40.0,1.0,59.5,2.5,0,52,70,40.0
1,#9,43.0,32.0,46.0,159.5,34.5,46.0,0.0,116.5,2.5,0,86,64,46.0
1,#22,45.0,26.0,36.0,142.5,116.5,36.0,1.0,116.5,71.5,0,52,90,36.0
1,#33,44.0,21.0,36.0,194.5,115.5,36.0,1.0,173.5,71.5,0,42,88,36.0
1,#20,53.0,34.0,26.0,55.5,111.5,26.0,0.0,2.5,77.5,0,106,68,26.0
1,#16A,35.0,26.0,32.0,37.5,176.5,32.0,0.0,2.5,150.5,0,70,52,32.0
1,#29,65.0,25.0,36.0,142.5,191.5,36.0,0.0,77.5,166.5,0,130,50,36.0
2,#35,102.0,46.0,36.0,104.5,48.5,36.0,0.0,2.5,2.5,0,204,92,36.0
2,#26,72.0,25.0,40.0,74.5,124.5,40.0,0.0,2.5,99.5,0,144,50,40.0
2,#13,56.0,25.0,28.0,58.5,179.5,28.0,0.0,2.5,154.5,0,112,50,28.0
