bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,75,57,32
1,2,0,57,0,135,55,36
1,3,0,112,0,209,97,36
1,4,135,0,0,73,111,26
1,5,0,0,32,75,57,36
1,6,0,112,36,209,97,36
1,7,0,57,36,135,55,36
1,8,135,0,26,73,111,26
1,9,119,0,52,95,57,36
1,10,0,57,72,117,55,28
1,11,0,112,72,135,55,36
1,12,119,0,88,95,57,36
1,13,0,112,108,135,55,36
1,14,0,0,68,75,57,40
1,15,0,57,100,117,55,28
1,16,0,0,108,75,57,32
1,17,119,0,124,95,57,36
1,18,0,57,128,117,55,28
1,19,0,0,140,75,57,36
1,20,0,167,72,93,47,36
1,21,0,112,144,149,55,40
1,22,0,57,156,117,55,28
1,23,119,0,160,93,47,36
1,24,0,112,184,149,55,40
1,25,149,86,72,69,91,46
1,26,0,0,176,75,57,36
1,27,149,86,118,69,91,46
1,28,119,0,196,95,57,36
